Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
972,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-03-27T05:10:32Z
4,System,IPv4,TCP,LISTEN,10.0.2.5,139,0.0.0.0,0,2026-03-27T05:10:34Z
428,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,3389,0.0.0.0,0,2026-03-27T05:10:33Z
1268,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2026-03-27T05:10:49Z
7596,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49770,2026-03-27T05:15:08Z
7596,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49762,2026-03-27T05:13:34Z
7596,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,2026-03-27T05:11:52Z
7596,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49759,2026-03-27T05:13:34Z
7596,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49772,2026-03-27T05:15:08Z
7596,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8001,127.0.0.1,49702,2026-03-27T05:11:52Z
7596,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,2026-03-27T05:11:52Z
7596,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8003,0.0.0.0,0,2026-03-27T05:11:52Z
7596,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,49844,2026-03-27T05:28:55Z
7596,velociraptor.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,49767,2026-03-27T05:15:07Z
7596,velociraptor.exe,IPv4,TCP,LISTEN,127.0.0.1,8889,0.0.0.0,0,2026-03-27T05:11:52Z
732,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2026-03-27T05:10:32Z
568,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2026-03-27T05:10:32Z
